File Name,Composition Title
Abbott-I-Have-Loved-mm7-8.pdf,"I Have Loved Thee Too Dearly, mm.7-8 - J.R. Abbott"
Aldridge-Caravan-flute.pdf,"Caravan from Three Arabian Dances, flute/picc in E-flat - Amanda Aldridge, aka Montague Ring"
Aldridge-On-Parade-Cornet-1.pdf,"On Parade, cornet I - Amanda Aldridge, aka Montague Ring"
Aldridge-On-Parade-Drums.pdf,"On Parade, drums - Amanda Aldridge, aka Montague Ring"
Aldridge-Quick-March-Flute.pdf,"On Parade, flute part - Amanda Aldridge, aka Montague Ring"
Aleotti-Baciai-per-haver-vita.pdf,Baciai per haver vita - Vittoria Aleotti
Aleotti-Cor-mio-perche-pur-piangi-Prima-Parte.pdf,Cor mio perché pur piangi. Prima parte - Vittoria Aleotti
Aleotti-Hor-che-la-vaga-aurora.pdf,Hor che la vaga aurora - Vittoria Aleotti
Aleotti-Io-piango-Seconda-parte..pdf,Io piango. Seconda parte - Vittoria Aleotti
Aleotti-Io-vamo-vita-mia.pdf,Io v'amo vita mia - Vittoria Aleotti
Aleotti-O-quante-volte-in-van-cor-mio.pdf,O quante volte in van cor mio - Vittoria Aleotti
Aleotti-Per-voi-lasso-conviene.pdf,Per voi lasso conviene - Vittoria Aleotti
Aleotti-Tamo-mia-vita.pdf,T'amo mia vita - Vittoria Aleotti
Aufderheide-Richmond-Rag-complete.pdf,Richmond Rag - May Aufderheide
Aufderheide-Thriller-mm1-17.pdf,The Thriller (1909) mm.1-17 - May Aufderheide
Barraine-Fugue-No1.pdf,Fugue No.1 - Elsa Barraine
Barraine-Fugue-No2-complete.pdf,Fugue No.2 complete - Elsa Barraine
Barraine-Lamento.pdf,Lamento for trombone and piano - Elsa Barraine
Barraine-Prélude-No.1-complete.pdf,Prélude No.1 complete - Elsa Barraine
Barraine-Prelude-No2.pdf,Prélude No.2 complete - Elsa Barraine
Bauer-Sonata-MvtI.pdf,"Sonata for Viola (or clarinet) and Piano, Op.22 Mvt.I - Marion Bauer"
Bauer-Viola-Sonata-MvtII.pdf,"Sonata for Viola (or clarinet) and Piano, Op.22 Mvt.II - Marion Bauer"
Beach-Concerto-Op45-I_Allegro_moderato.pdf,Piano Concerto Op.45 mvt I. Allegro moderato - Amy Beach
Beach-Dark-is-the-Night.pdf,Dark is the Night (1890) - Amy Beach
Beach-fugue-expo.pdf,"Prelude & Fugue Op.81, fugue exposition - Amy Beach"
Beach-fugue-ostinato.pdf,"Prelude and Fugue Op.81, fugue mm.68-81 - Amy Beach"
Beach-Hermit-Thrush-at-Eve-Op92.pdf,"A Hermit Thrush at Eve, Op.92 No.1 - Amy Beach"
Beach-Hermit-Thrush-at-Morn-Op92.pdf,"A Hermit Thrush at Morn, Op.92 No.2 - Amy Beach"
Beach-Ich-sagte-nicht.pdf,"Ich sagte nicht, Op.51 No.1, complete - Amy Beach"
Beach-Mazurka-Op40.pdf,"Mazurka, Op.40 No.3 complete - Amy Beach"
Beach-Minuet-end-of-digression-mode-mix.pdf,"Minuet, Op. 36 No.1 mm. 21-34 - Amy Beach"
Beach-Minuet-opening-period.pdf,"Minuet Op.36, No.1 mm.1-20 - Amy Beach"
Beach-op36-Gavotte-full.pdf,Gavotte Op.36 No.2 complete – Amy Beach
Beach-op36-Waltz-complete.pdf,"Waltz, Op.36 No.3 complete - Amy Beach"
Beach-Op81-fugue-theme.pdf,"Prelude & Fugue Op.81, fugue theme - Amy Beach"
Beach-Piano-Quintet-II-Adagio.pdf,"Piano Quintet in F-Sharp Minor, Op.67 mvt.II - Amy Beach"
Beach-Romance-opening-period.pdf,"Romance for Violin & Piano, Op.23 - Amy Beach"
Beach-Thanksgiving-Fable.pdf,"A Thanksgiving Fable, complete - Amy Beach"
Beach-Waltz-for-clarinet-trio.pdf,"Waltz, Op. 36 No. 3 arranged for clarinet trio - Amy Beach"
